Code,Title,Is Replaced By,Removed In
Pr_25_93_60_18,Concrete kerbs,Pr_25_93_45_18 Concrete kerbs,2018-08
Pr_25_93_60_21,Concrete safety kerbs,Pr_25_93_45_21 Concrete safety kerbs,2018-08
Pr_25_93_60_24,Concrete transition and dropper kerbs,Pr_25_93_45_24 Concrete transition and dropper kerbs,2018-08
Pr_25_93_60_56,Natural stone kerbs,Pr_25_93_45_56 Natural stone kerbs,2018-08
Pr_25_93_60_62,Plastics kerbs,Pr_25_93_45_62 Plastics kerbs,2018-08
Pr_25_96_35_31,Footway gratings,Pr_25_96_30_31 Footway gratings,2020-04
Pr_30_36_08_50,Magnetic locks,Pr_75_30_27_50 Magnetic locks,2018-01
Pr_30_36_59_52,Midrail push plates,Pr_30_36_33_52 Midrail protection plates,2021-10
Pr_30_59_12_46,Lock gate sills,SL_80_70_46 Lock gate sills,2021-04
Pr_30_59_15_92,Tripod turnstiles,Pr_30_59_34_92 Tripod turnstiles,2023-04
Pr_30_59_24_28,Fire doorsets,Pr_30_59_24 Doorsets,2023-04
Pr_30_59_24_72,Roller grille sets,Pr_30_59_84_72 Roller grilles,2017-04
Pr_30_59_24_73,Roller shutter sets,Pr_30_59_84_73 Roller shutters,2017-04
Pr_30_59_33_47,Lock paddle gates,Pr_30_59_12_47 Lock gate paddles,2021-01
Pr_30_59_34_10,Canal lock gates,Pr_30_59_12_10 Canal lock gates,2021-01
Pr_30_59_36_25,Ductwork access doorsets,Pr_65_65_23_25 Ductwork access doorsets,2018-01
Pr_30_59_36_64,Polyvinyl chloride (PVC) strip curtain sets,Pr_30_59_24_64 Polyvinyl chloride (PVC) strip curtain sets,2018-01
Pr_30_59_58_03,Aluminium framed heat or smoke control roof ventilators,Pr_30_59_29_75 Roof ventilator unit,2016-10
Pr_30_59_58_36,Hardwood framed heat or smoke control roof ventilators,Pr_30_59_29_75 Roof ventilator unit,2016-10
Pr_30_59_58_72,Rigid polyurethane framed heat or smoke control roof ventilators,Pr_30_59_29_75 Roof ventilator unit,2016-10
Pr_30_59_58_80,Smoke control roof ventilators,Pr_30_59_29_75 Roof ventilator unit,2016-10
Pr_30_59_58_81,Softwood framed heat or smoke control roof ventilators,Pr_30_59_29_75 Roof ventilator unit,2016-10
Pr_30_59_58_85,Steel framed heat or smoke control roof ventilators,Pr_30_59_29_75 Roof ventilator unit,2016-10
Pr_30_59_71,Refuse and linen chute inlets and openings,Pr_65_12 Chutes,2020-07
Pr_30_59_71_12,Chute automatic fire doors,Pr_65_12_71_10 Chute automatic fire doors,2020-07
Pr_30_59_71_13,Chute door interlocks,Pr_65_12_71_21 Chute door interlocks,2020-07
Pr_30_59_71_21,Refuse chute discharge outlets,Pr_65_12_70_24 Refuse chute discharge outlets,2020-07
Pr_30_59_71_22,Refuse chute doorsets,Pr_65_12_70_40 Refuse chute inlet doors,2020-07
Pr_30_59_71_23,Refuse chute hoppers,Pr_65_12_70_36 Refuse chute hoppers,2020-07
Pr_30_59_71_46,Linen chute discharge outlets,Pr_65_12_47_24 Linen chute discharge outlets,2020-07
Pr_30_59_71_47,Linen chute doorsets,Pr_65_12_47_40 Linen chute inlet doors,2020-07
Pr_30_59_71_48,Linen chute hoppers,Pr_65_12_47_37 Linen chute hoppers,2020-07
Pr_30_59_84_64,Polyvinyl chloride (PVC) strip curtains,Pr_40_30_20_67 Polyvinyl chloride (PVC) strip curtains,2018-04
Pr_35_31_22_59,Opaque wood stains,Pr_35_31_95_98 Wood stains,2021-07
Pr_35_31_22_74,Semi-transparent wood dyes,Pr_35_31_95_96 Wood dyes,2021-07
Pr_35_31_22_75,Semi-transparent wood oils,Pr_35_31_95_97 Wood oils,2021-07
Pr_35_31_22_76,Semi-transparent wood stains,Pr_35_31_95_98 Wood stains,2021-07
Pr_35_31_65_81,Sugar soap,Pr_15_31_04_85 Sugar soap,2018-01
Pr_35_31_77_03,Sprayed monolithic coating finishing coats,Pr_35_31_68_79 Sprayed monolithic coating finishing coats,2019-10
Pr_35_31_85_04,Anti-static carpet treatments,Pr_35_31_85_05 Anti-static carpet treatments,2017-04
Pr_35_57_71_55,Multilayer flooring,Pr_35_31_06_55 Multilayer flooring,2017-04
Pr_35_90_28_28,External extension sills,Pr_25_93_52_28 External extension sills,2018-01
Pr_35_90_87_53,Mineral fibre joint fillers,Pr_25_71_44_53 Mineral fibre joint fillers,2018-01
Pr_35_93_96_51,Metal tiles,Pr_25_93_72_52 Metal tiles,2018-01
Pr_40_10_27,Electrical services signs,"Pr_40_10_57 Services notices, identification and labels",2020-04
Pr_40_10_27_27,Electrical shock treatment signs,Pr_40_10_57_25 Electrical shock treatment signs,2020-04
Pr_40_10_27_28,Externally illuminated emergency exit signs,Pr_40_10_57_30 Externally illuminated emergency exit signs,2020-04
Pr_40_10_27_43,Induction loop system signs,Pr_40_10_57_43 Induction loop system signs,2020-04
Pr_40_10_27_62,Photoluminescent emergency signs,Pr_40_10_57_61 Photoluminescent emergency signs,2020-04
Pr_40_10_27_63,Photoluminescent low-mounted way-guidance lighting,Pr_40_10_57_62 Photoluminescent low-mounted way-guidance lighting,2020-04
Pr_40_10_27_86,Surveillance system signs,Pr_40_10_57_86 Surveillance system signs,2020-04
Pr_40_10_27_88,Telecommunications equipment and outlets labels,Pr_40_10_57_88 Telecommunications equipment and outlets labels,2020-04
Pr_40_10_27_91,Underground cable marker tapes,Pr_40_10_57_91 Underground cable marker tapes,2020-04
Pr_40_10_57_21,Door number labels,Pr_40_10_77_25 Door number labels,2023-04
Pr_40_10_57_26,Engraved mechanical plant and equipment identification labels,Pr_40_10_57_51 Mechanical plant and equipment identification labels,2021-10
Pr_40_10_57_27,Engraved valve charts and schematics,Pr_40_10_57_93 Valve charts and schematics,2021-10
Pr_40_10_57_28,Engraved valve identification labels,Pr_40_10_57_94 Valve identification labels,2021-10
Pr_40_10_57_39,Images and logos,Pr_40_10_77_40 Images and logos,2023-04
Pr_40_10_57_60,Paper valve charts and schematics,Pr_40_10_57_93 Valve charts and schematics,2021-10
Pr_40_10_57_71,Room name labels,Pr_40_10_77_71 Room name labels,2023-04
Pr_40_10_57_72,Room number labels,Pr_40_10_77_73 Room number labels,2023-04
Pr_40_10_57_76,Screen printed mechanical plant and equipment identification labels,Pr_40_10_57_51 Mechanical plant and equipment identification labels,2021-10
Pr_40_10_57_77,Screen printed valve identification labels,Pr_40_10_57_94 Valve identification labels,2021-10
Pr_40_10_57_99,Window number labels,Pr_40_10_77_93 Window number labels,2023-04
Pr_40_10_90_23,Dolphins,En_32_85_24 Dolphins,2019-01
Pr_40_10_90_80,Signage,Pr_40_10_90_56 Navigation signs,2018-10
Pr_40_20_87_24,Drinking fountains,Pr_40_70_15_24 Drinking fountains,2019-10
Pr_40_20_87_28,Eye wash fountains,Pr_40_20_27_28 Eye-wash fountains,2019-04
Pr_40_20_93_79,Urinal flushing valves,Pr_75_50_46_31 Flush control devices,2020-10
Pr_40_20_93_81,Urinal wastes,Pr_70_55_96_93 Urinal wastes,2019-01
Pr_40_20_93_91,WC flushing valves,Pr_75_50_46_31 Flush control devices,2020-10
Pr_40_30_26_09,Bathroom clothes drying lines,Pr_40_30_26 Drying lines,2019-04
Pr_40_30_26_58,Outdoor clothes rotary lines,Pr_40_30_26_72 Rotary clothes-drying lines,2019-04
Pr_40_30_26_59,Outdoor clothes drying lines,Pr_40_30_26 Drying lines,2019-04
Pr_40_30_26_93,Utility room clothes drying lines,Pr_40_30_26 Drying lines,2019-04
Pr_40_30_30_62,Picnic tables,Pr_40_30_30_17 Combined outdoor tables and seating,2021-07
Pr_40_30_53_46,Large mirrors,Pr_40_30_53_30 Framed glass mirrors,2023-04
Pr_40_30_78_01,Airing cabinets,Pr_40_30_87_14 Clothes drying cabinets,2021-01
Pr_40_30_78_02,Archive shelves,Pr_40_30_78_53 Mobile aisle shelving,2021-01
Pr_40_30_78_03,Bathroom cabinets,Pr_40_30_87_03 Bathroom cabinets,2021-01
Pr_40_30_78_04,Bathroom cupboards,Pr_40_30_87_03 Bathroom cabinets,2021-01
Pr_40_30_78_05,Bathroom furniture,Pr_40_20_76_94 Vanity units,2021-01
Pr_40_30_78_06,Bathroom shelves,Pr_40_30_78_78 Shelves,2021-01
Pr_40_30_78_07,Bedside units,Pr_40_30_87_07 Bedside units,2021-01
Pr_40_30_78_09,Bowl and bucket holders,"Pr_40_50_84_09 Bowl stands
Pr_40_50_84_10 Bucket holders",2021-01
Pr_40_30_78_11,Chests,Pr_40_30_87_11 Chests,2020-10
Pr_40_30_78_12,Classroom storage units,Pr_40_30_87_12 Classroom storage units,2021-01
Pr_40_30_78_14,Clothes drying cabinets,Pr_40_30_87_14 Clothes drying cabinets,2021-01
Pr_40_30_78_18,College bedroom shelves,Pr_40_30_78_78 Shelves,2021-01
Pr_40_30_78_19,Commercial kitchen shelving and racking units,Pr_40_30_78_85 Stainless steel shelving and racking units,2021-10
Pr_40_30_78_20,Copyholders,Pr_40_50_84_20 Copyholders,2021-01
Pr_40_30_78_21,Couch roll holders,Pr_40_70_22_21 Couch roll holders,2021-01
Pr_40_30_78_22,Credenzas,Pr_40_30_87_81 Sideboards,2021-01
Pr_40_30_78_23,Desk tidies,Pr_40_70_58 Office equipment,2021-01
Pr_40_30_78_24,Display cases,Pr_40_30_87_24 Display cases,2021-01
Pr_40_30_78_25,Drawer units,Pr_40_30_87_25 Drawer units,2021-01
Pr_40_30_78_26,Dressers,Pr_40_30_87_26 Dressers,2021-01
Pr_40_30_78_28,External storage units,Pr_40_30_28 External storage units,2021-01
Pr_40_30_78_29,Filing cabinets,Pr_40_30_87_29 Filing cabinets,2021-01
Pr_40_30_78_30,Folding tables storage cabinets,Pr_40_30_87_30 Folding tables storage cabinets,2021-01
Pr_40_30_78_33,Glazed bookcases,Pr_40_30_87_33 Glazed bookcases,2021-01
Pr_40_30_78_40,Index storage units,Pr_40_30_87_40 Index storage units,2021-01
Pr_40_30_78_41,In-the-round display cases,Pr_40_30_87_24 Display cases,2021-01
Pr_40_30_78_42,Kitchen drawer units,Pr_40_30_87_42 Kitchen drawer units,2021-01
Pr_40_30_78_43,Kitchen bench cupboards,Pr_40_30_87_31 Floor-standing kitchen cupboards,2021-01
Pr_40_30_78_44,Kitchen overhead cupboards,Pr_40_30_87_95 Wall-mounted kitchen cupboards,2021-01
Pr_40_30_78_45,Kitchen storage units,Pr_40_30_87_42 Kitchen drawer units,2021-01
Pr_40_30_78_46,Laboratory storage units,Pr_40_30_87_46 Laboratory storage units,2021-01
Pr_40_30_78_48,Lockers,Pr_40_30_87_48 Lockers,2021-01
Pr_40_30_78_51,Media wall partition units,Pr_40_30_87_51 Media wall partition units,2021-01
Pr_40_30_78_52,Medicine cabinets,Pr_40_30_87_52 Medicine cabinets,2021-01
Pr_40_30_78_55,Museum showcases,Pr_40_30_87_55 Museum showcases,2021-01
Pr_40_30_78_57,Office storage units,Pr_40_30_87_57 Office storage units,2021-01
Pr_40_30_78_63,Plan chests,Pr_40_30_87_63 Plan chests,2021-01
Pr_40_30_78_70,Refrigerated mortuary storage units,Pr_40_70_53_70 Refrigerated mortuary storage units,2021-01
Pr_40_30_78_72,Retail storage units,Pr_40_30_87_72 Retail storage units,2021-01
Pr_40_30_78_73,Rotary storage units,Pr_40_30_87_73 Rotary storage units,2021-01
Pr_40_30_78_76,Security cages,Pr_40_30_75_77 Security cages,2021-01
Pr_40_30_78_79,Racking units,Pr_40_30_78_70 Racking units,2021-01
Pr_40_30_78_81,Sideboards,Pr_40_30_87_81 Sideboards,2021-01
Pr_40_30_78_84,Storage carousels,Pr_40_30_87_73 Rotary storage units,2021-01
Pr_40_30_78_85,Storage chests,Pr_40_30_87_85 Storage chests,2021-01
Pr_40_30_78_86,Storage wall partition units,Pr_40_30_87_86 Storage wall partition units,2021-01
Pr_40_30_78_87,Suspension storage units,Pr_40_30_87_87 Suspension storage units,2021-01
Pr_40_30_78_88,Table storage credenzas,Pr_40_30_87_30 Folding tables storage cabinets,2021-01
Pr_40_30_78_90,Tool chests,Pr_40_30_87_90 Tool chests,2021-01
Pr_40_30_78_93,Under-bed storage units,Pr_40_30_87_93 Under-bed storage units,2021-01
Pr_40_30_78_96,Wardrobes,Pr_40_30_87_96 Wardrobes,2021-01
Pr_40_30_78_97,Weights storage racks,Pr_40_30_78_35 Gym weights storage racks,2021-01
Pr_40_30_84_20,Copyholders,Pr_40_50_84_20 Copyholders,2021-04
Pr_40_30_86_61,Portable starting platforms,Pr_40_50_86_64 Portable starting platforms,2023-04
Pr_40_50_05_50,Memorials,En_25_05_50 Memorials,2018-01
Pr_40_50_07_22,Disposal containers,Pr_40_50_07_73 Refuse containers,2021-10
Pr_40_50_07_30,Fire bucket floor stands,Pr_40_50_84_30 Fire bucket floor stands,2023-01
Pr_40_50_21_44,Kitchenettes,Pr_20_65_50_46 Kitchenette units,2021-01
Pr_40_50_21_45,Kitchen worktops,Pr_40_30_30_46 Kitchen worktops,2021-01
Pr_40_50_21_72,Reception desks,Pr_40_30_30_71 Reception desks,2018-01
Pr_40_50_21_97,Worktops,Pr_40_30_30_96 Worktops,2018-01
Pr_40_50_28_12,Carbon steel fire buckets,Pr_40_50_07_11 Carbon steel fire buckets,2023-01
Pr_40_50_28_28,Extinguisher floor stands,Pr_40_50_84_29 Extinguisher floor stands,2023-01
Pr_40_50_51_31,Foot stools,Pr_40_50_51_50 Medical footstools,2021-01
Pr_40_50_84_36,Hat stands,Pr_40_30_78_36 Hat stands,2021-01
Pr_40_70_05,Audiovisual equipment,Pr_60_75_03 Audio and video players and recorders,2021-01
Pr_40_70_05_70,Radios,Pr_60_75_03_70 Radio tuners,2021-01
Pr_40_70_05_88,Televisions,Pr_60_75_03_78 Televisions,2021-01
Pr_40_70_17_11,Catering microwave ovens,Pr_40_70_17_52 Commercial microwave ovens,2021-10
Pr_40_70_17_23,Electric fryers,Pr_40_70_17_22 Commercial electric deep fat fryers,2021-10
Pr_40_70_17_38,Gas fryers,Pr_40_70_17_37 Commercial gas deep fat fryers,2021-10
Pr_40_70_17_51,Catering microwave ovens,Pr_40_70_17_52 Commercial microwave ovens,2021-07
Pr_40_70_21_60,Pass-through dishwashers,Pr_40_70_21_12 Commercial pass-through dishwashers,2021-10
Pr_40_70_21_92,Under-counter dishwashers,Pr_40_70_21_14 Commercial under-counter dishwashers,2021-10
Pr_40_70_22_11,Cash dispensers,Pr_40_70_22_05 Automated teller machines (ATMs),2023-04
Pr_40_70_22_66,Plate dispensers,Pr_40_70_22_18 Commercial plate dispensers,2021-10
Pr_40_70_23_06,Bains-marie,"Pr_40_70_23_15 Commercial electric bains-marie
Pr_40_70_23_35 Gas bains-marie",2021-01
Pr_40_70_23_26,Electric bains-marie,Pr_40_70_23_15 Commercial electric bains-marie,2021-10
Pr_40_70_23_70,Refrigerated display cabinet airflow equipment,Pr_40_70_31_69 Refrigerated display cabinet airflow equipment,2021-07
Pr_40_70_23_71,Refrigerated display cabinets,Pr_40_70_31_70 Commercial refrigerated cabinets,2021-07
Pr_40_70_23_72,Refrigerated display counters,Pr_40_70_31_71 Commercial refrigerated counters,2021-07
Pr_40_70_23_96,Water coolers,Pr_40_70_15_96 Water coolers,2018-01
Pr_40_70_31_31,Freezers,Pr_40_70_26_31 Freezers,2021-07
Pr_40_70_31_32,Fridge-freezers,Pr_40_70_26_32 Fridge-freezers,2021-07
Pr_40_70_31_72,Refrigerators,Pr_40_70_26_72 Refrigerators,2021-07
Pr_40_70_46_30,Flatwork ironers,Pr_40_70_46_24 Dryer ironers,2023-01
Pr_40_70_46_96,Washer extractors,Pr_40_70_46_39 Hydro extractors,2023-01
Pr_40_70_47_75,Sanitary barrier washers,Pr_40_70_47_06 Barrier washers,2023-01
Pr_40_70_56,Navigation equipment,Pr_40_10_90 Water and navigation aids,2021-01
Pr_40_70_56_21,Daymarks,Pr_40_10_90_21 Daymarks,2021-01
Pr_40_70_56_56,Navigation booms,Pr_40_10_90_55 Navigation booms,2021-01
Pr_40_70_63_35,Graphics cameras,Pr_70_75_15_22 Digital cameras,2021-01
Pr_40_70_65_16,Conveyor toasters,Pr_40_70_17_16 Commercial conveyor toasters,2021-01
Pr_40_70_65_18,Electric boiling pans,Pr_40_70_17_18 Commercial electric boiling pans,2021-01
Pr_40_70_65_19,Electric boiling tables,Pr_40_70_17_19 Commercial electric boiling tables,2021-01
Pr_40_70_65_20,Electric bratt pans,Pr_40_70_17_20 Commercial electric bratt pans,2021-01
Pr_40_70_65_21,Electric cooking ranges,Pr_40_70_17_21 Commercial electric cooking ranges,2021-01
Pr_40_70_65_22,Electric deep fat fryers,Pr_40_70_17_22 Commercial electric deep fat fryers,2021-01
Pr_40_70_65_23,Electric fryers,Pr_40_70_17_23 Electric fryers,2021-01
Pr_40_70_65_24,Electric griddles,Pr_40_70_17_24 Commercial electric griddles,2021-01
Pr_40_70_65_25,Electric grills,Pr_40_70_17_25 Commercial electric grills,2021-01
Pr_40_70_65_27,Electric ovens,Pr_40_70_17_27 Electric ovens,2021-01
Pr_40_70_65_28,Electric steaming ovens,Pr_40_70_17_28 Commercial electric steaming ovens,2021-01
Pr_40_70_65_33,Gas boiling pans,Pr_40_70_17_33 Commercial gas boiling pans,2021-01
Pr_40_70_65_34,Gas boiling tables,Pr_40_70_17_34 Commercial gas boiling tables,2021-01
Pr_40_70_65_35,Gas bratt pans,Pr_40_70_17_35 Commercial gas bratt pans,2021-01
Pr_40_70_65_36,Gas cooking ranges,Pr_40_70_17_36 Commercial gas cooking ranges,2021-01
Pr_40_70_65_37,Gas deep fat fryers,Pr_40_70_17_37 Commercial gas deep fat fryers,2021-01
Pr_40_70_65_38,Gas fryers,Pr_40_70_17_38 Gas fryers,2021-01
Pr_40_70_65_39,Gas griddles,Pr_40_70_17_39 Commercial gas griddles,2021-01
Pr_40_70_65_40,Gas grills,Pr_40_70_17_40 Commercial gas grills,2020-01
Pr_40_70_65_41,Gas ovens,Pr_40_70_17_41 Gas ovens,2021-01
Pr_40_70_65_42,Gas steaming ovens,Pr_40_70_17_42 Commercial gas steaming ovens,2021-01
Pr_40_70_65_43,General-purpose electric ovens,Pr_40_70_17_43 Commercial general-purpose electric ovens,2021-01
Pr_40_70_65_44,General-purpose gas ovens,Pr_40_70_17_44 Commercial general-purpose gas ovens,2021-01
Pr_40_70_65_51,Microwave ovens,Pr_40_70_17_52 Commercial microwave ovens,2021-01
Pr_40_70_65_79,Slot toasters,Pr_40_70_17_79 Commercial slot toasters,2021-01
Pr_40_70_75_50,Manual push,Pr_40_70_75 Safety equipment,2022-01
Pr_45_30_90_04,Bare-root climbers,Pr_45_30_80_04 Bare-root climbers,2018-04
Pr_45_30_90_06,Bare-root cutting-raised roses,Pr_45_30_80_06 Bare-root cutting-raised roses,2018-04
Pr_45_30_90_08,Bare-root shrubs,Pr_45_30_80_08 Bare-root shrubs,2018-04
Pr_45_30_90_10,Bare-root budded roses,Pr_45_30_80_10 Bare-root budded roses,2018-04
Pr_45_30_90_12,Cell-grown shrubs,Pr_45_30_80_12 Cell-grown shrubs,2018-04
Pr_45_30_90_14,Container-grown bamboos,Pr_45_30_80_14 Container-grown bamboos,2018-04
Pr_45_30_90_15,Container-grown budded roses,Pr_45_30_80_15 Container-grown budded roses,2018-04
Pr_45_30_90_16,Container-grown climbers,Pr_45_30_80_16 Container-grown climbers,2018-04
Pr_45_30_90_18,Container-grown cutting-raised roses,Pr_45_30_80_18 Container-grown cutting-raised roses,2018-04
Pr_45_30_90_20,Container-grown shrubs,Pr_45_30_80_20 Container-grown shrubs,2018-04
Pr_45_30_90_71,Rootballed bamboos,Pr_45_30_80_71 Root-balled bamboos,2018-04
Pr_45_30_90_73,Rootballed shrubs,Pr_45_30_80_73 Root-balled shrubs,2018-04
Pr_45_31_52_97,Vermicides,Pr_45_31_03_96 Vermicides ,2023-04
Pr_45_63_63_64,Polymer plant containers,Pr_45_63_63_63 Plastics plant containers,2021-04
Pr_60_50_47_64,Plastics petrol and diesel tanks,Pr_60_50_47_34 Glass fibre-reinforced plastics liquid fuel tanks,2016-10
Pr_60_70_06_06,Backup battery supply,Pr_60_70_06_28 Emergency call battery backup supply,2021-07
Pr_60_70_06_27,Electric vehicle chargers,Pr_65_72_97_29 Electric vehicle charging points,2022-01
Pr_60_70_06_65,Power conditioning units,Pr_65_72_43_64 Power conditioning units,2018-01
Pr_60_70_06_76,Sealed lead-acid batteries,Pr_60_70_06_94 Valve-regulated lead-acid cells,2023-01
Pr_60_70_22_15,Consumer units,Pr_60_70_22_22 Distribution boards,2021-10
Pr_60_70_22_85,Sub-main distribution boards,Pr_60_70_22_22 Distribution boards,2021-10
Pr_60_70_28,Extra-high-voltage switchgear,Pr_60_70_36 High-voltage switchgear and transformers,2023-10
Pr_60_70_36_12,High-voltage circuit breakers,Pr_60_70_38_12 High-voltage circuit breakers,2023-10
Pr_60_70_36_75,High-voltage safety matting,Pr_80_77_28_25 Electrical safety matting,2021-10
Pr_60_70_48_11,Changeover switches,Pr_60_70_48_52 Manual changeover switches,2021-07
Pr_60_70_48_45,Low-voltage safety matting,Pr_80_77_28_25 Electrical safety matting,2021-10
Pr_60_70_65_38,Hydraulic power units,Pr_85_50_39_38 Hydraulic power units,2021-01
Pr_60_70_65_41,Internal combustion engines,Pr_60_70_65_36 Generator internal combustion engines,2021-01
Pr_60_75_78_90,Telemetry transmitters,Pr_75_75_90_90 Telemetry transmitters,2018-01
Pr_60_75_86_10,Covert cameras,Pr_60_75_86_11 Internet protocol (IP) covert cameras,2016-10
Pr_60_75_86_11,CCTV matrix switch controllers,Pr_75_80_50_95 Video matrix switch controllers,2016-10
Pr_60_75_86_12,CCTV matrix switch controllers,Pr_75_80_50_95 Video matrix switch controllers,2018-01
Pr_60_75_86_12,CCTV telemetry receivers,Pr_75_75_90_88 Telemetry receivers,2016-10
Pr_60_75_86_13,CCTV telemetry receivers,Pr_75_75_90_88 Telemetry receivers,2018-01
Pr_60_75_86_13,CCTV telemetry transmitters,Pr_75_75_90_90 Telemetry transmitters,2016-10
Pr_60_75_86_14,CCTV telemetry transmitters,Pr_75_75_90_90 Telemetry transmitters,2018-01
Pr_65_12_70_22,Disposal chutes,Pr_65_12_70_74 Refuse chutes,2021-10
Pr_65_12_70_47,Linen chutes,Pr_65_12_47_47 Linen chutes,2020-07
Pr_65_12_71_72,Refuse and recycling separators,Pr_65_12_70_72 Refuse and recycling separators,2020-07
Pr_65_52_01_25,Concrete soakaway shaft sections,Pr_65_52_01_59 Perforated concrete ring sections,2021-07
Pr_65_52_03_61,Polyethylene (PE) drainage pipes and fittings,Pr_65_52_03_37 High-density polyethylene (HDPE) above-ground drainage pipes and fittings,2021-10
Pr_65_52_07_39,High-density polyethylene (HDPE) structured wall below-ground drainage pipes and fittings for welded jointing,Pr_65_52_07_38 High-density polyethylene (HDPE) structured wall below-ground drainage pipes and fittings,2020-07
Pr_65_52_07_67,Polypropylene (PP) structured wall below-ground drainage pipes and fittings for welded jointing,Pr_65_52_07_65 Polypropylene (PP) structured wall below-ground drainage pipes and fittings,2020-07
Pr_65_52_24_02,Adaptors for above-ground pipe connections to clay drainage pipelines,Pr_65_52_07_02 Adaptors for connections to clay drainage pipes,2020-07
Pr_65_52_24_03,Adaptors for above-ground pipe connections to plastics drainage pipelines,Pr_65_52_07_03 Adaptors for connections to plastics drainage pipes,2020-07
Pr_65_52_38_33,Gas hose reels,Pr_65_52_38_12 Carbon dioxide fire-extinguishing hose reels,2021-07
Pr_65_52_61_28,Electrical resistance surface trace heating,Pr_70_60_36_15 Constant wattage trace heating cables,2018-10
Pr_65_52_61_29,Electrical resistance surface trace heating for hazardous environments,Pr_70_60_36_77 Series resistance trace heating cables and tapes,2018-10
Pr_65_52_63_02,Acrylonitrile butadiene styrene (ABS) pipe and fittings,Pr_65_52_03_02 Acrylonitrile butadiene styrene (ABS) above-ground wastewater pipes and fittings,2020-07
Pr_65_52_63_04,Aluminium rainwater pipes and fittings,Pr_65_52_03_04 Aluminium rainwater pipes and fittings,2020-07
Pr_65_52_63_08,Borosilicate glass pipes and fittings,Pr_65_52_03_08 Borosilicate glass above-ground wastewater pipes and fittings,2020-07
Pr_65_52_63_10,Carbon steel pipes and fittings,Pr_65_52_63_82 Steel pipes,2020-07
Pr_65_52_63_11,Cast iron rainwater pipes and fittings,Pr_65_52_03_11 Cast iron rainwater pipes and fittings,2020-07
Pr_65_52_63_12,Cast iron drainage pipes and fittings,Pr_65_52_03_12 Cast iron above-ground drainage pipes and fittings,2020-07
Pr_65_52_63_13,Chlorinated polyvinyl chloride (PVC-C) wastewater pipes and fittings,Pr_65_52_03_13 Chlorinated polyvinyl chloride (PVC-C) above-ground wastewater pipes and fittings,2020-07
Pr_65_52_63_15,Concrete perforated pipes and fittings,Pr_65_52_07_15 Concrete perforated below-ground drainage pipes and fittings,2020-07
Pr_65_52_63_16,Concrete pipes and fittings,Pr_65_52_07_16 Concrete plain wall below-ground drainage pipes and fittings,2020-07
Pr_65_52_63_19,Copper rainwater pipes and fittings,Pr_65_52_03_19 Copper rainwater pipes and fittings,2020-07
Pr_65_52_63_21,Copper wastewater pipes and fittings,Pr_65_52_03_21 Copper above-ground drainage pipes and fittings,2020-07
Pr_65_52_63_30,Hot-dip pre-coated carbon steel rainwater pipes and fittings,Pr_65_52_03_30 Hot-dip pre-coated carbon steel rainwater pipes and fittings,2020-07
Pr_65_52_63_31,Galvanized steel rainwater pipes and fittings,Pr_65_52_03_31 Galvanized steel rainwater pipes and fittings,2020-07
Pr_65_52_63_34,Glass-reinforced plastics (GRP) rainwater pipes and fittings,Pr_65_52_03_34 Glass fibre-reinforced plastics (GRP) rainwater pipes and fittings,2020-07
Pr_65_52_63_52,Modified unplasticized polyvinyl chloride (MUPVC) pipes and fittings,Pr_65_52_03_52 Modified unplasticized polyvinyl chloride (MUPVC) above-ground wastewater pipes and fittings,2020-07
Pr_65_52_63_61,Polyethylene (PE) drainage pipes and fittings,Pr_65_52_03_37 High-density polyethylene (HDPE) above-ground drainage pipes and fittings,2020-07
Pr_65_52_63_66,Polypropylene (PP) solid wall pipes and fittings,Pr_65_52_03_66 Polypropylene (PP) above-ground wastewater pipes and fittings,2020-07
Pr_65_52_63_67,Polypropylene (PP) structured wall pipes and fittings,Pr_65_52_07_64 Polypropylene (PP) solid wall below-ground drainage pipes and fittings,2020-07
Pr_65_52_63_80,Stainless steel rainwater pipes and fittings,Pr_65_52_03_80 Stainless steel rainwater pipes and fittings,2020-07
Pr_65_52_63_81,Stainless steel wastewater pipes and fittings,Pr_65_52_03_81 Stainless steel above-ground drainage pipes and fittings,2020-07
Pr_65_52_63_87,Unplasticized polyvinyl chloride (PVC-U) drainage pipes and fittings,Pr_65_52_03_87 Unplasticized polyvinyl chloride (PVC-U) above-ground drainage pipes and fittings,2020-07
Pr_65_52_63_88,Unplasticized polyvinyl chloride (PVC-U) rainwater pipes and fittings,Pr_65_52_03_88 Unplasticized polyvinyl chloride (PVC-U) rainwater pipes and fittings,2020-07
Pr_65_52_63_90,Unplasticized polyvinyl chloride (PVC-U) solid wall pipes and fittings,Pr_65_52_03_88 Unplasticized polyvinyl chloride (PVC-U) rainwater pipes and fittings,2020-07
Pr_65_52_63_91,Unplasticized polyvinyl chloride (PVC-U) structured wall perforated pipes and fittings,Pr_65_52_07_91 Unplasticized polyvinyl chloride (PVC-U) structured wall perforated below-ground drainage pipes and fittings,2020-07
Pr_65_52_63_92,Unplasticized polyvinyl chloride (PVC-U) structured wall pipes and fittings,Pr_65_52_07_90 Unplasticized polyvinyl chloride (PVC-U) structured wall below-ground drainage pipes and fittings,2020-07
