Code,Title,Is Replaced By,Removed In
FI_60_17,Combined model (CM),PM_40_35_18 Combined models,2023-04
FI_90_05,Assessment report (AR),FI_90_72 Report (RP),2019-07
FI_90_75,Risk register (RR),PM_60_40_72 Risk register,2019-07
PC_20_77_80,Site test date,PC_10_90_31_88 Field test date,2023-07
PM_10_20_24,Employer's information requirement,PM_10_20_28 Exchange information requirements,2020-04
PM_20,Personnel,Ro Roles,2019-01
PM_20_10,Organization roles,Ro_10_10 Organization roles,2019-01
PM_20_10_05,Associate,Ro_10_10_05 Associate,2019-01
PM_20_10_12,Chairman,Ro_10_10_12 Chairman,2019-01
PM_20_10_14,Chief executive officer,Ro_10_10_14 Chief executive officer,2019-01
PM_20_10_16,Chief financial officer,Ro_10_10_16 Chief financial officer,2019-01
PM_20_10_18,Chief operating officer,Ro_10_10_18 Chief operating officer,2019-01
PM_20_10_25,Director,Ro_10_10_25 Director,2019-01
PM_20_10_30,Executive director,Ro_10_10_30 Executive director,2019-01
PM_20_10_50,Manager,Ro_10_10_50 Manager,2019-01
PM_20_10_53,Managing director,Ro_10_10_53 Managing director,2019-01
PM_20_10_58,Non-executive director,Ro_10_10_58 Non-executive director,2019-01
PM_20_10_60,Partner,Ro_10_10_60 Partner,2019-01
PM_20_10_65,President,Ro_10_10_65 President,2019-01
PM_20_10_94,Vice chairman,Ro_10_10_94 Vice chairman,2019-01
PM_20_10_95,Vice president,Ro_10_10_95 Vice president,2019-01
PM_20_20,Asset management roles,Ro_10_30 Asset management roles,2019-01
PM_20_20_01,Access consultant,Ro_50_10_01 Access consultant,2019-01
PM_20_20_04,Asset manager,Ro_10_30_50 Asset manager,2019-01
PM_20_20_11,Catering manager,Ro_10_40_11 Catering manager,2019-01
PM_20_20_13,Clerk of works,Ro_30_10_13 Clerk of works,2019-01
PM_20_20_14,Client,Ro_10_20_14 Client,2019-01
PM_20_20_15,Client advisor,Ro_10_20_15 Client advisor,2019-01
PM_20_20_16,Client representative,Ro_10_20_16 Client representative,2019-01
PM_20_20_18,Construction operative,"Ro_70_50 Building trades
Ro_70_60 Services trades",2019-01
PM_20_20_19,Contract administrator,Ro_30_10_19 Contract administrator,2019-01
PM_20_20_20,Contractor,Ro_30_10_20 Contractor,2019-01
PM_20_20_22,Cost consultant,Ro_30_10_22 Cost consultant,2019-01
PM_20_20_26,Employer,Ro_10_20_26 Employer,2019-01
PM_20_20_27,Employer's agent,Ro_30_10_27 Employer's agent,2019-01
PM_20_20_28,Energy manager,Ro_10_40_28 Energy manager,2019-01
PM_20_20_30,Facilities manager,Ro_10_40_30 Facilities manager,2019-01
PM_20_20_36,Health and safety consultant,Ro_30_10_36 Health and safety consultant,2019-01
PM_20_20_40,Importer,Ro_30_40_40 Importer,2019-01
PM_20_20_42,Information manager,Ro_30_10_42 Information manager,2019-01
PM_20_20_43,Insurance consultant,Ro_30_10_43 Insurance consultant,2019-01
PM_20_20_47,Legal consultant,Ro_30_10_47 Legal consultant,2019-01
PM_20_20_50,Maintenance provider,Ro_10_40_50 Maintenance provider,2019-01
PM_20_20_52,Management consultant,Ro_10_40_52 Management consultant,2019-01
PM_20_20_54,Manufacturer,Ro_30_40_54 Manufacturer,2019-01
PM_20_20_56,Nominated supplier,Ro_30_40_56 Nominated supplier,2019-01
PM_20_20_65,Procurement consultant,Ro_10_40_65 Procurement consultant,2019-01
PM_20_20_67,Project manager,Ro_30_10_67 Project manager,2019-01
PM_20_20_74,Safety manager,Ro_10_40_74 Safety manager,2019-01
PM_20_20_76,Security manager,Ro_10_30_10 Built asset security manager,2019-01
PM_20_20_85,Sub-contractor,Ro_30_10_85 Subcontractor,2019-01
PM_20_20_86,Supplier,Ro_30_40_86 Supplier,2019-01
PM_20_20_88,Traffic manager,Ro_10_40_88 Traffic consultant,2019-01
PM_20_20_90,Transportation manager,Ro_10_40_90 Transportation manager,2019-01
PM_20_30,Official roles,Ro_30_30 Official roles,2019-01
PM_20_30_09,Building control officer,Ro_30_30_09 Building control officer,2019-01
PM_20_30_16,Conservation officer,Ro_30_30_16 Conservation officer,2019-01
PM_20_30_26,Environmental officer,Ro_30_30_26 Environmental officer,2019-01
PM_20_30_36,Heritage officer,Ro_30_30_36 Heritage officer,2019-01
PM_20_30_60,Party wall surveyor,Ro_30_30_60 Party wall surveyor,2019-01
PM_20_30_65,Planning officer,Ro_30_30_65 Planning officer,2019-01
PM_20_30_67,Principal contractor,Ro_30_30_67 Principal contractor,2019-01
PM_20_30_68,Principal designer,Ro_30_30_68 Principal designer,2019-01
PM_20_40,Team lead roles,Ro_30_50 Team lead roles,2019-01
PM_20_40_04,Asset management lead,Ro_30_50_04 Asset management lead,2019-01
PM_20_40_19,Construction lead,Ro_30_50_19 Construction lead,2019-01
PM_20_40_25,Design lead,Ro_30_50_25 Design lead,2019-01
PM_20_40_61,Operation lead,Ro_30_50_61 Operation lead,2019-01
PM_20_40_69,Programme lead,Ro_30_50_69 Programme lead,2019-01
PM_20_40_70,Project lead,Ro_30_50_70 Project lead,2019-01
PM_20_50,Design roles,Ro_50 Design roles,2019-01
PM_20_50_02,Acoustic engineer,Ro_50_20_02 Acoustic engineer,2019-01
PM_20_50_03,Architect,Ro_50_10_03 Architect,2019-01
PM_20_50_04,Architectural designer,Ro_50_10_04 Architectural designer,2019-01
PM_20_50_05,Architectural technologist,Ro_50_10_05 Architectural technologist,2019-01
PM_20_50_08,Building services engineer,Ro_50_20_08 Building services engineer,2019-01
PM_20_50_11,Civil engineer,Ro_50_20_11 Civil engineer,2019-01
PM_20_50_14,Cladding designer,Ro_50_10_14 Cladding designer,2019-01
PM_20_50_17,Commissioning engineer,Ro_30_10_17 Commissioning engineer,2019-01
PM_20_50_24,Demolition engineer,Ro_50_20_24 Demolition engineer,2019-01
PM_20_50_28,Drainage engineer,Ro_50_20_28 Drainage engineer,2019-01
PM_20_50_30,Electrical services engineer,Ro_50_20_30 Electrical services engineer,2019-01
