Code,Group,Sub group,Section,Object,Sub object,Title,NBS Code,COBie,NRM1,IFC 2x3 TC1,IFC 4Add2 TC1,IFC 4x3Add2 TC1,CESMM
Ro_50_10_95,50,10,95,,,Virtual reality designer,,Ro_50_10_95 : Virtual reality designer,,,,,
Ro_50_20,50,20,,,,Engineering design roles,,Ro_50_20 : Engineering design roles,,,,,
Ro_50_20_02,50,20,02,,,Acoustic engineer,,Ro_50_20_02 : Acoustic engineer,,,,,
Ro_50_20_04,50,20,04,,,Audiovisual consultant,,Ro_50_20_04 : Audiovisual consultant,,,,,
Ro_50_20_06,50,20,06,,,Bridge engineer,,Ro_50_20_06 : Bridge engineer,,,,,
Ro_50_20_08,50,20,08,,,Building services engineer,,Ro_50_20_08 : Building services engineer,,,,,
Ro_50_20_11,50,20,11,,,Civil engineer,00-05-20/265 Civil engineer,Ro_50_20_11 : Civil engineer,,,,,
Ro_50_20_21,50,20,21,,,Data specialist,,Ro_50_20_21 : Data specialist,,,,,
Ro_50_20_24,50,20,24,,,Demolition engineer,,Ro_50_20_24 : Demolition engineer,,,,,
Ro_50_20_26,50,20,26,,,Digital engineer,,Ro_50_20_26 : Digital engineer,,,,,
Ro_50_20_28,50,20,28,,,Drainage engineer,,Ro_50_20_28 : Drainage engineer,,,,,
Ro_50_20_30,50,20,30,,,Electrical services engineer,00-05-20/270 Electrical services engineer,Ro_50_20_30 : Electrical services engineer,,,,,
Ro_50_20_31,50,20,31,,,Electronics engineer,,Ro_50_20_31 : Electronics engineer,,,,,
Ro_50_20_33,50,20,33,,,Fire engineer,00-05-20/285 Fire Engineer,Ro_50_20_33 : Fire engineer,,,,,
Ro_50_20_37,50,20,37,,,Geotechnical engineer,,Ro_50_20_37 : Geotechnical engineer,,,,,
Ro_50_20_40,50,20,40,,,"Heating, ventilation and air conditioning engineer",,"Ro_50_20_40 : Heating, ventilation and air conditioning engineer",,,,,
Ro_50_20_41,50,20,41,,,Highways engineer,,Ro_50_20_41 : Highways engineer,,,,,
Ro_50_20_42,50,20,42,,,Hydraulic engineer,,Ro_50_20_42 : Hydraulic engineer,,,,,
Ro_50_20_44,50,20,44,,,Industrial automation consultant,,Ro_50_20_44 : Industrial automation consultant,,,,,
Ro_50_20_50,50,20,50,,,Marine engineer,,Ro_50_20_50 : Marine engineer,,,,,
Ro_50_20_53,50,20,53,,,"Mechanical, electrical, instrumentation, control and automation (MEICA) engineer",,"Ro_50_20_53 : Mechanical, electrical, instrumentation, control and automation (MEICA) engineer",,,,,
Ro_50_20_54,50,20,54,,,Mechanical services engineer,00-05-20/280 Mechanical services engineer,Ro_50_20_54 : Mechanical services engineer,,,,,
Ro_50_20_56,50,20,56,,,Media and broadcast specialist,,Ro_50_20_56 : Media and broadcast specialist,,,,,
Ro_50_20_59,50,20,59,,,Overhead wires engineer,,Ro_50_20_59 : Overhead wires engineer,,,,,
Ro_50_20_63,50,20,63,,,Pool engineer,,Ro_50_20_63 : Pool engineer,,,,,
Ro_50_20_65,50,20,65,,,Process engineer,,Ro_50_20_65 : Process engineer,,,,,
Ro_50_20_68,50,20,68,,,Public health engineer,,Ro_50_20_68 : Public health engineer,,,,,
Ro_50_20_70,50,20,70,,,Rail engineer,,Ro_50_20_70 : Rail engineer,,,,,
Ro_50_20_72,50,20,72,,,Reliability engineer,,Ro_50_20_72 : Reliability engineer,,,,,
Ro_50_20_73,50,20,73,,,Renewable energy consultant,,Ro_50_20_73 : Renewable energy consultant,,,,,
Ro_50_20_74,50,20,74,,,Rolling stock engineer,,Ro_50_20_74 : Rolling stock engineer,,,,,
Ro_50_20_79,50,20,79,,,Signalling engineer,,Ro_50_20_79 : Signalling engineer,,,,,
Ro_50_20_83,50,20,83,,,Structural engineer,00-05-20/310 Structural engineer,Ro_50_20_83 : Structural engineer,,,,,
Ro_50_20_86,50,20,86,,,Systems engineer,,Ro_50_20_86 : Systems engineer,,,,,
Ro_50_20_88,50,20,88,,,Telecommunication engineer,,Ro_50_20_88 : Telecommunication engineer,,,,,
Ro_50_20_90,50,20,90,,,Traffic engineer,,Ro_50_20_90 : Traffic engineer,,,,,
Ro_50_20_91,50,20,91,,,Tunnel engineer,,Ro_50_20_91 : Tunnel engineer,,,,,
Ro_50_20_94,50,20,94,,,Vertical transportation consultant,,Ro_50_20_94 : Vertical transportation consultant,,,,,
Ro_50_20_96,50,20,96,,,Water services engineer,,Ro_50_20_96 : Water services engineer,,,,,
Ro_50_20_98,50,20,98,,,Water feature specialist,,Ro_50_20_98 : Water feature specialist,,,,,
Ro_50_30,50,30,,,,Environmental design roles,,Ro_50_30 : Environmental design roles,,,,,
Ro_50_30_04,50,30,04,,,Arboriculturalist,,Ro_50_30_04 : Arboriculturalist,,,,,
Ro_50_30_25,50,30,25,,,Ecologist,,Ro_50_30_25 : Ecologist,,,,,
Ro_50_30_33,50,30,33,,,Garden designer,,Ro_50_30_33 : Garden designer,,,,,
Ro_50_30_42,50,30,42,,,Irrigation consultant,,Ro_50_30_42 : Irrigation consultant,,,,,
Ro_50_30_47,50,30,47,,,Landscape architect,00-05-20/275 Landscape architect,Ro_50_30_47 : Landscape architect,,,,,
Ro_50_30_48,50,30,48,,,Landscape designer,,Ro_50_30_48 : Landscape designer,,,,,
Ro_50_30_94,50,30,94,,,Urban designer,,Ro_50_30_94 : Urban designer,,,,,
Ro_70,70,,,,,Site roles,,Ro_70 : Site roles,,,,,
Ro_70_10,70,10,,,,Surveyor and planner roles,,Ro_70_10 : Surveyor and planner roles,,,,,
Ro_70_10_10,70,10,10,,,Building inspector,,Ro_70_10_10 : Building inspector,,,,,
Ro_70_10_11,70,10,11,,,Building surveyor,,Ro_70_10_11 : Building surveyor,,,,,
Ro_70_10_16,70,10,16,,,Conservation surveyor,,Ro_70_10_16 : Conservation surveyor,,,,,
Ro_70_10_33,70,10,33,,,Geotechnical surveyor,,Ro_70_10_33 : Geotechnical surveyor,,,,,
Ro_70_10_36,70,10,36,,,Heritage surveyor,,Ro_70_10_36 : Heritage surveyor,,,,,
Ro_70_10_46,70,10,46,,,Land surveyor,,Ro_70_10_46 : Land surveyor,,,,,
Ro_70_10_64,70,10,64,,,Planning consultant,,Ro_70_10_64 : Planning consultant,,,,,
Ro_70_10_75,70,10,75,,,Quantity surveyor,00-05-20/300 Quantity surveyor,Ro_70_10_75 : Quantity surveyor,,,,,
Ro_70_10_80,70,10,80,,,Site investigation consultant,,Ro_70_10_80 : Site investigation consultant,,,,,
Ro_70_10_93,70,10,93,,,Utilities surveyor,,Ro_70_10_93 : Utilities surveyor,,,,,
Ro_70_30,70,30,,,,Environmental and geological roles,,Ro_70_30 : Environmental and geological roles,,,,,
Ro_70_30_04,70,30,04,,,Archaeologist,,Ro_70_30_04 : Archaeologist,,,,,
Ro_70_30_27,70,30,27,,,Environmental assessor,,Ro_70_30_27 : Environmental assessor,,,,,
Ro_70_30_28,70,30,28,,,Environmental consultant,,Ro_70_30_28 : Environmental consultant,,,,,
Ro_70_30_35,70,30,35,,,Geographic information system consultant,,Ro_70_30_35 : Geographic information system consultant,,,,,
Ro_70_30_39,70,30,39,,,Hydrologist,,Ro_70_30_39 : Hydrologist,,,,,
Ro_70_30_84,70,30,84,,,Sustainability assessor,,Ro_70_30_84 : Sustainability assessor,,,,,
Ro_70_30_85,70,30,85,,,Sustainability consultant,,Ro_70_30_85 : Sustainability consultant,,,,,
Ro_70_30_94,70,30,94,,,Visual impact assessor,,Ro_70_30_94 : Visual impact assessor,,,,,
Ro_70_40,70,40,,,,Conservation and restoration roles,,Ro_70_40 : Conservation and restoration roles,,,,,
Ro_70_40_16,70,40,16,,,Conservator,,Ro_70_40_16 : Conservator,,,,,
Ro_70_40_71,70,40,71,,,Restorer,,Ro_70_40_71 : Restorer,,,,,
Ro_70_50,70,50,,,,Building trades,,Ro_70_50 : Building trades,,,,,
Ro_70_50_02,70,50,02,,,Access floor installer,,Ro_70_50_02 : Access floor installer,,,,,
Ro_70_50_07,70,50,07,,,Bricklayer,,Ro_70_50_07 : Bricklayer,,,,,
Ro_70_50_09,70,50,09,,,Builder's labourer,,Ro_70_50_09 : Builder's labourer,,,,,
Ro_70_50_10,70,50,10,,,Building insulation installer,,Ro_70_50_10 : Building insulation installer,,,,,
Ro_70_50_12,70,50,12,,,Carpenter,,Ro_70_50_12 : Carpenter,,,,,
Ro_70_50_14,70,50,14,,,Carpet fitter,,Ro_70_50_14 : Carpet fitter,,,,,
Ro_70_50_16,70,50,16,,,Ceiling installer,,Ro_70_50_16 : Ceiling installer,,,,,
Ro_70_50_17,70,50,17,,,Cement renderer,,Ro_70_50_17 : Cement renderer,,,,,
Ro_70_50_18,70,50,18,,,Cladding installer,,Ro_70_50_18 : Cladding installer,,,,,
Ro_70_50_20,70,50,20,,,Construction rigger,,Ro_70_50_20 : Construction rigger,,,,,
Ro_70_50_22,70,50,22,,,Crane operator,,Ro_70_50_22 : Crane operator,,,,,
Ro_70_50_26,70,50,26,,,Earth moving labourer,,Ro_70_50_26 : Earth moving labourer,,,,,
Ro_70_50_30,70,50,30,,,Fencing installer,,Ro_70_50_30 : Fencing installer,,,,,
Ro_70_50_32,70,50,32,,,Flooring installer,,Ro_70_50_32 : Flooring installer,,,,,
Ro_70_50_34,70,50,34,,,Glazier,,Ro_70_50_34 : Glazier,,,,,
Ro_70_50_37,70,50,37,,,Hoist operator,,Ro_70_50_37 : Hoist operator,,,,,
Ro_70_50_44,70,50,44,,,Joiner,,Ro_70_50_44 : Joiner,,,,,
Ro_70_50_45,70,50,45,,,Landscape installer,,Ro_70_50_45 : Landscape installer,,,,,
Ro_70_50_46,70,50,46,,,Landscape maintenance operative,,Ro_70_50_46 : Landscape maintenance operative,,,,,
Ro_70_50_47,70,50,47,,,Lift operator,,Ro_70_50_47 : Lift operator,,,,,
Ro_70_50_60,70,50,60,,,Painter and decorator,,Ro_70_50_60 : Painter and decorator,,,,,
Ro_70_50_61,70,50,61,,,Partition installer,,Ro_70_50_61 : Partition installer,,,,,
Ro_70_50_62,70,50,62,,,Paving and surfacing installer,,Ro_70_50_62 : Paving and surfacing installer,,,,,
Ro_70_50_65,70,50,65,,,Plasterer,,Ro_70_50_65 : Plasterer,,,,,
Ro_70_50_72,70,50,72,,,Roofer,,Ro_70_50_72 : Roofer,,,,,
Ro_70_50_76,70,50,76,,,Scaffolder,,Ro_70_50_76 : Scaffolder,,,,,
Ro_70_50_83,70,50,83,,,Steel erector,,Ro_70_50_83 : Steel erector,,,,,
Ro_70_50_84,70,50,84,,,Steel fixer,,Ro_70_50_84 : Steel fixer,,,,,
Ro_70_50_85,70,50,85,,,Stonemason,,Ro_70_50_85 : Stonemason,,,,,
Ro_70_50_88,70,50,88,,,Tiler,,Ro_70_50_88 : Tiler,,,,,
Ro_70_60,70,60,,,,Services trades,,Ro_70_60 : Services trades,,,,,
Ro_70_60_10,70,60,10,,,Cable layer,,Ro_70_60_10 : Cable layer,,,,,
Ro_70_60_12,70,60,12,,,CCTV installer,,Ro_70_60_12 : CCTV installer,,,,,
Ro_70_60_25,70,60,25,,,Ductwork installer,,Ro_70_60_25 : Ductwork installer,,,,,
Ro_70_60_27,70,60,27,,,Electrician,,Ro_70_60_27 : Electrician,,,,,
Ro_70_60_30,70,60,30,,,Fire detection and alarm system installer,,Ro_70_60_30 : Fire detection and alarm system installer,,,,,
Ro_70_60_33,70,60,33,,,Gas fitter,,Ro_70_60_33 : Gas fitter,,,,,
Ro_70_60_47,70,60,47,,,Lift installer,,Ro_70_60_47 : Lift installer,,,,,
Ro_70_60_63,70,60,63,,,Pipe fitter,,Ro_70_60_63 : Pipe fitter,,,,,
Ro_70_60_66,70,60,66,,,Plumber,,Ro_70_60_66 : Plumber,,,,,
Ro_70_60_77,70,60,77,,,Security alarm system installer,,Ro_70_60_77 : Security alarm system installer,,,,,
Ro_70_60_78,70,60,78,,,Services insulation installer,,Ro_70_60_78 : Services insulation installer,,,,,
Ro_70_60_81,70,60,81,,,Sprinkler system installer,,Ro_70_60_81 : Sprinkler system installer,,,,,
Ro_70_60_87,70,60,87,,,Telecommunications installer,,Ro_70_60_87 : Telecommunications installer,,,,,
Ro_70_60_96,70,60,96,,,Welder,,Ro_70_60_96 : Welder,,,,,
Ro_70_65,70,65,,,,Site management roles,,Ro_70_65 : Site management roles,,,,,
Ro_70_65_15,70,65,15,,,Construction manager,,Ro_70_65_15 : Construction manager,,,,,
Ro_70_65_66,70,65,66,,,Protection officer,,Ro_70_65_66 : Protection officer,,,,,
Ro_70_65_79,70,65,79,,,Signalling technician,,Ro_70_65_79 : Signalling technician,,,,,
Ro_70_65_81,70,65,81,,,Site supervisor,,Ro_70_65_81 : Site supervisor,,,,,
Ro_70_65_88,70,65,88,,,Trades foreman,,Ro_70_65_88 : Trades foreman,,,,,
Ro_70_70,70,70,,,,Rail and road roles,,Ro_70_70 : Rail and road roles,,,,,
Ro_70_70_37,70,70,37,,,Highways operative,,Ro_70_70_37 : Highways operative,,,,,
Ro_70_70_68,70,70,68,,,Rail labourer,,Ro_70_70_68 : Rail labourer,,,,,
Ro_70_70_70,70,70,70,,,Rail track layer,,Ro_70_70_70 : Rail track layer,,,,,
Ro_70_70_72,70,70,72,,,Rail traction technician,,Ro_70_70_72 : Rail traction technician,,,,,
Ro_70_70_85,70,70,85,,,Street works operative,,Ro_70_70_85 : Street works operative,,,,,
